utt_id,annotation_order
s01_C_creak_D032,1
s01_A_modal_C007,2
s01_A_modal_D024,3
s01_B_natural_C030,4
s01_B_natural_D008,5
s01_C_creak_F014,6
s01_A_modal_F025,7
s02_A_modal_F008,8
s01_C_creak_C019,9
s01_B_natural_F023,10
s02_A_modal_F020,11
s02_A_modal_D001,12
s02_B_natural_C040,13
s01_C_creak_C008,14
s01_B_natural_C027,15
s01_B_natural_C004,16
s01_C_creak_D035,17
s01_A_modal_C036,18
s02_C_creak_C015,19
s02_C_creak_C037,20
s02_C_creak_F015,21
s02_B_natural_F002,22
s02_C_creak_D020,23
s01_A_modal_D006,24
s01_C_creak_F024,25
s01_C_creak_D033,26
s02_B_natural_C039,27
s02_A_modal_F002,28
s02_B_natural_C002,29
s02_B_natural_D031,30
s01_C_creak_C024,31
s01_C_creak_D016,32
s02_B_natural_F012,33
s02_A_modal_D018,34
s02_B_natural_C036,35
s02_B_natural_F013,36
s02_A_modal_D028,37
s02_B_natural_C038,38
s01_A_modal_F010,39
s02_B_natural_D019,40
s02_A_modal_D024,41
s01_B_natural_C037,42
s01_C_creak_F018,43
s02_A_modal_C010,44
s02_A_modal_C016,45
s02_B_natural_D033,46
s02_B_natural_D002,47
s01_C_creak_D034,48
s01_B_natural_D004,49
s02_C_creak_C026,50
s01_C_creak_C018,51
s01_B_natural_C003,52
s01_C_creak_C001,53
s01_C_creak_F003,54
s01_B_natural_D023,55
s02_A_modal_D005,56
s01_A_modal_D018,57
s01_A_modal_F015,58
s02_C_creak_C005,59
s02_B_natural_F024,60
