annotation_order,utt_id,grid_filename,wav_filename,wav_path
1,s01_C_creak_D032,01.TextGrid,01.wav,data/split/s01_C_creak_D032.wav
2,s01_A_modal_C007,02.TextGrid,02.wav,data/split/s01_A_modal_C007.wav
3,s01_A_modal_D024,03.TextGrid,03.wav,data/split/s01_A_modal_D024.wav
4,s01_B_natural_C030,04.TextGrid,04.wav,data/split/s01_B_natural_C030.wav
5,s01_B_natural_D008,05.TextGrid,05.wav,data/split/s01_B_natural_D008.wav
6,s01_C_creak_F014,06.TextGrid,06.wav,data/split/s01_C_creak_F014.wav
7,s01_A_modal_F025,07.TextGrid,07.wav,data/split/s01_A_modal_F025.wav
8,s02_A_modal_F008,08.TextGrid,08.wav,data/split/s02_A_modal_F008.wav
9,s01_C_creak_C019,09.TextGrid,09.wav,data/split/s01_C_creak_C019.wav
10,s01_B_natural_F023,10.TextGrid,10.wav,data/split/s01_B_natural_F023.wav
11,s02_A_modal_F020,11.TextGrid,11.wav,data/split/s02_A_modal_F020.wav
12,s02_A_modal_D001,12.TextGrid,12.wav,data/split/s02_A_modal_D001.wav
13,s02_B_natural_C040,13.TextGrid,13.wav,data/split/s02_B_natural_C040.wav
14,s01_C_creak_C008,14.TextGrid,14.wav,data/split/s01_C_creak_C008.wav
15,s01_B_natural_C027,15.TextGrid,15.wav,data/split/s01_B_natural_C027.wav
16,s01_B_natural_C004,16.TextGrid,16.wav,data/split/s01_B_natural_C004.wav
17,s01_C_creak_D035,17.TextGrid,17.wav,data/split/s01_C_creak_D035.wav
18,s01_A_modal_C036,18.TextGrid,18.wav,data/split/s01_A_modal_C036.wav
19,s02_C_creak_C015,19.TextGrid,19.wav,data/split/s02_C_creak_C015.wav
20,s02_C_creak_C037,20.TextGrid,20.wav,data/split/s02_C_creak_C037.wav
21,s02_C_creak_F015,21.TextGrid,21.wav,data/split/s02_C_creak_F015.wav
22,s02_B_natural_F002,22.TextGrid,22.wav,data/split/s02_B_natural_F002.wav
23,s02_C_creak_D020,23.TextGrid,23.wav,data/split/s02_C_creak_D020.wav
24,s01_A_modal_D006,24.TextGrid,24.wav,data/split/s01_A_modal_D006.wav
25,s01_C_creak_F024,25.TextGrid,25.wav,data/split/s01_C_creak_F024.wav
26,s01_C_creak_D033,26.TextGrid,26.wav,data/split/s01_C_creak_D033.wav
27,s02_B_natural_C039,27.TextGrid,27.wav,data/split/s02_B_natural_C039.wav
28,s02_A_modal_F002,28.TextGrid,28.wav,data/split/s02_A_modal_F002.wav
29,s02_B_natural_C002,29.TextGrid,29.wav,data/split/s02_B_natural_C002.wav
30,s02_B_natural_D031,30.TextGrid,30.wav,data/split/s02_B_natural_D031.wav
31,s01_C_creak_C024,31.TextGrid,31.wav,data/split/s01_C_creak_C024.wav
32,s01_C_creak_D016,32.TextGrid,32.wav,data/split/s01_C_creak_D016.wav
33,s02_B_natural_F012,33.TextGrid,33.wav,data/split/s02_B_natural_F012.wav
34,s02_A_modal_D018,34.TextGrid,34.wav,data/split/s02_A_modal_D018.wav
35,s02_B_natural_C036,35.TextGrid,35.wav,data/split/s02_B_natural_C036.wav
36,s02_B_natural_F013,36.TextGrid,36.wav,data/split/s02_B_natural_F013.wav
37,s02_A_modal_D028,37.TextGrid,37.wav,data/split/s02_A_modal_D028.wav
38,s02_B_natural_C038,38.TextGrid,38.wav,data/split/s02_B_natural_C038.wav
39,s01_A_modal_F010,39.TextGrid,39.wav,data/split/s01_A_modal_F010.wav
40,s02_B_natural_D019,40.TextGrid,40.wav,data/split/s02_B_natural_D019.wav
41,s02_A_modal_D024,41.TextGrid,41.wav,data/split/s02_A_modal_D024.wav
42,s01_B_natural_C037,42.TextGrid,42.wav,data/split/s01_B_natural_C037.wav
43,s01_C_creak_F018,43.TextGrid,43.wav,data/split/s01_C_creak_F018.wav
44,s02_A_modal_C010,44.TextGrid,44.wav,data/split/s02_A_modal_C010.wav
45,s02_A_modal_C016,45.TextGrid,45.wav,data/split/s02_A_modal_C016.wav
46,s02_B_natural_D033,46.TextGrid,46.wav,data/split/s02_B_natural_D033.wav
47,s02_B_natural_D002,47.TextGrid,47.wav,data/split/s02_B_natural_D002.wav
48,s01_C_creak_D034,48.TextGrid,48.wav,data/split/s01_C_creak_D034.wav
49,s01_B_natural_D004,49.TextGrid,49.wav,data/split/s01_B_natural_D004.wav
50,s02_C_creak_C026,50.TextGrid,50.wav,data/split/s02_C_creak_C026.wav
51,s01_C_creak_C018,51.TextGrid,51.wav,data/split/s01_C_creak_C018.wav
52,s01_B_natural_C003,52.TextGrid,52.wav,data/split/s01_B_natural_C003.wav
53,s01_C_creak_C001,53.TextGrid,53.wav,data/split/s01_C_creak_C001.wav
54,s01_C_creak_F003,54.TextGrid,54.wav,data/split/s01_C_creak_F003.wav
55,s01_B_natural_D023,55.TextGrid,55.wav,data/split/s01_B_natural_D023.wav
56,s02_A_modal_D005,56.TextGrid,56.wav,data/split/s02_A_modal_D005.wav
57,s01_A_modal_D018,57.TextGrid,57.wav,data/split/s01_A_modal_D018.wav
58,s01_A_modal_F015,58.TextGrid,58.wav,data/split/s01_A_modal_F015.wav
59,s02_C_creak_C005,59.TextGrid,59.wav,data/split/s02_C_creak_C005.wav
60,s02_B_natural_F024,60.TextGrid,60.wav,data/split/s02_B_natural_F024.wav
