utt_id,wav_path,pass,creak_doubling_rate,tercile,annotation_order
s01_C_creak_D032,data/split/s01_C_creak_D032.wav,C_creak,0.8229166666666666,high,1
s01_A_modal_C007,data/split/s01_A_modal_C007.wav,A_modal,0.2702702702702703,low,2
s01_A_modal_D024,data/split/s01_A_modal_D024.wav,A_modal,0.19424460431654678,low,3
s01_B_natural_C030,data/split/s01_B_natural_C030.wav,B_natural,0.3584905660377358,low,4
s01_B_natural_D008,data/split/s01_B_natural_D008.wav,B_natural,0.3484848484848485,low,5
s01_C_creak_F014,data/split/s01_C_creak_F014.wav,C_creak,0.6612903225806451,mid,6
s01_A_modal_F025,data/split/s01_A_modal_F025.wav,A_modal,0.4296875,mid,7
s02_A_modal_F008,data/split/s02_A_modal_F008.wav,A_modal,0.21238938053097345,low,8
s01_C_creak_C019,data/split/s01_C_creak_C019.wav,C_creak,0.45098039215686275,mid,9
s01_B_natural_F023,data/split/s01_B_natural_F023.wav,B_natural,0.3619047619047619,low,10
s02_A_modal_F020,data/split/s02_A_modal_F020.wav,A_modal,0.43448275862068964,mid,11
s02_A_modal_D001,data/split/s02_A_modal_D001.wav,A_modal,0.41935483870967744,mid,12
s02_B_natural_C040,data/split/s02_B_natural_C040.wav,B_natural,0.43137254901960786,mid,13
s01_C_creak_C008,data/split/s01_C_creak_C008.wav,C_creak,0.9347826086956522,high,14
s01_B_natural_C027,data/split/s01_B_natural_C027.wav,B_natural,0.35443037974683544,low,15
s01_B_natural_C004,data/split/s01_B_natural_C004.wav,B_natural,0.20967741935483872,low,16
s01_C_creak_D035,data/split/s01_C_creak_D035.wav,C_creak,0.9134615384615384,high,17
s01_A_modal_C036,data/split/s01_A_modal_C036.wav,A_modal,0.27710843373493976,low,18
s02_C_creak_C015,data/split/s02_C_creak_C015.wav,C_creak,0.9761904761904762,high,19
s02_C_creak_C037,data/split/s02_C_creak_C037.wav,C_creak,0.639344262295082,mid,20
s02_C_creak_F015,data/split/s02_C_creak_F015.wav,C_creak,0.9636363636363636,high,21
s02_B_natural_F002,data/split/s02_B_natural_F002.wav,B_natural,0.6491228070175439,mid,22
s02_C_creak_D020,data/split/s02_C_creak_D020.wav,C_creak,0.8811881188118812,high,23
s01_A_modal_D006,data/split/s01_A_modal_D006.wav,A_modal,0.26732673267326734,low,24
s01_C_creak_F024,data/split/s01_C_creak_F024.wav,C_creak,0.896551724137931,high,25
s01_C_creak_D033,data/split/s01_C_creak_D033.wav,C_creak,0.8115942028985508,high,26
s02_B_natural_C039,data/split/s02_B_natural_C039.wav,B_natural,0.6666666666666666,high,27
s02_A_modal_F002,data/split/s02_A_modal_F002.wav,A_modal,0.4338235294117647,mid,28
s02_B_natural_C002,data/split/s02_B_natural_C002.wav,B_natural,0.5285714285714286,mid,29
s02_B_natural_D031,data/split/s02_B_natural_D031.wav,B_natural,0.6541353383458647,mid,30
s01_C_creak_C024,data/split/s01_C_creak_C024.wav,C_creak,0.8275862068965517,high,31
s01_C_creak_D016,data/split/s01_C_creak_D016.wav,C_creak,0.7674418604651163,high,32
s02_B_natural_F012,data/split/s02_B_natural_F012.wav,B_natural,0.4578313253012048,mid,33
s02_A_modal_D018,data/split/s02_A_modal_D018.wav,A_modal,0.21739130434782608,low,34
s02_B_natural_C036,data/split/s02_B_natural_C036.wav,B_natural,0.2777777777777778,low,35
s02_B_natural_F013,data/split/s02_B_natural_F013.wav,B_natural,0.5638297872340425,mid,36
s02_A_modal_D028,data/split/s02_A_modal_D028.wav,A_modal,0.3655913978494624,low,37
s02_B_natural_C038,data/split/s02_B_natural_C038.wav,B_natural,0.5132743362831859,mid,38
s01_A_modal_F010,data/split/s01_A_modal_F010.wav,A_modal,0.4954128440366973,mid,39
s02_B_natural_D019,data/split/s02_B_natural_D019.wav,B_natural,0.7446808510638298,high,40
s02_A_modal_D024,data/split/s02_A_modal_D024.wav,A_modal,0.4866666666666667,mid,41
s01_B_natural_C037,data/split/s01_B_natural_C037.wav,B_natural,0.2786885245901639,low,42
s01_C_creak_F018,data/split/s01_C_creak_F018.wav,C_creak,0.8028169014084507,high,43
s02_A_modal_C010,data/split/s02_A_modal_C010.wav,A_modal,0.5632183908045977,mid,44
s02_A_modal_C016,data/split/s02_A_modal_C016.wav,A_modal,0.5,mid,45
s02_B_natural_D033,data/split/s02_B_natural_D033.wav,B_natural,0.6707317073170732,high,46
s02_B_natural_D002,data/split/s02_B_natural_D002.wav,B_natural,0.5875,mid,47
s01_C_creak_D034,data/split/s01_C_creak_D034.wav,C_creak,0.5,mid,48
s01_B_natural_D004,data/split/s01_B_natural_D004.wav,B_natural,0.35365853658536583,low,49
s02_C_creak_C026,data/split/s02_C_creak_C026.wav,C_creak,0.9883720930232558,high,50
s01_C_creak_C018,data/split/s01_C_creak_C018.wav,C_creak,0.90625,high,51
s01_B_natural_C003,data/split/s01_B_natural_C003.wav,B_natural,0.23376623376623376,low,52
s01_C_creak_C001,data/split/s01_C_creak_C001.wav,C_creak,1.0,high,53
s01_C_creak_F003,data/split/s01_C_creak_F003.wav,C_creak,0.6818181818181818,high,54
s01_B_natural_D023,data/split/s01_B_natural_D023.wav,B_natural,0.27586206896551724,low,55
s02_A_modal_D005,data/split/s02_A_modal_D005.wav,A_modal,0.2074074074074074,low,56
s01_A_modal_D018,data/split/s01_A_modal_D018.wav,A_modal,0.22857142857142856,low,57
s01_A_modal_F015,data/split/s01_A_modal_F015.wav,A_modal,0.10256410256410256,low,58
s02_C_creak_C005,data/split/s02_C_creak_C005.wav,C_creak,0.8440366972477065,high,59
s02_B_natural_F024,data/split/s02_B_natural_F024.wav,B_natural,0.6666666666666666,high,60
