session,pass,label,wav_path,file,duration_s,f0_mean_hz,f0_median_hz,f0_sd_hz,f0_p10_hz,f0_p90_hz,f0_span_st,f0_floor_used,f0_ceiling_used,f0_n_frames,f0_window_s,f0_time_step_s,f0_octave_jump_cost,f0_shs_anchor_hz,f0_anchor_confidence,f0_octave_jump_rate,f0_frames_repaired,f0_frames_repaired_shs,f0_pct_voiced,f0_quality_flag,hnr_db,jitter_local_pct,shimmer_local_pct,shimmer_local_db,cpps_db,formant_ceiling_hz,formant_smoothness,f1_median_hz,f2_median_hz,f3_median_hz,formant_n_plausible_ceilings,formant_flag,shr_mean,shr_median,shr_p90,shr_doubling_rate,shr_octave_risk_rate,shr_n_frames,creak_sonorant_restricted,creak_low_f0_hz,creak_f0_irregularity_pct,creak_hnr_db,creak_period_doubling_shr,creak_doubling_rate,creak_subtype_hint,h1_h2_db,h1s_h2s_db,h1_a3_db,creak_f0_median_hz,creak_f0_p10_hz,creak_f0_p90_hz,creak_f0_pct_voiced,creak_shr_median,creak_shr_mean,rms_level
s01,A_modal,carrier,data/calibration/s01_passA_modal_carrier.wav,s01_passA_modal_carrier.wav,2.566625,103.72502091182271,101.57776918977422,14.288533836666934,87.6000364198762,125.53843387611016,6.2295088969922805,70.43554797031459,166.74463890257803,120,0.04259212977606655,0.010648032444016638,0.8,101.82554756176076,0.9743388443825104,0.0,0,0,50.42016806722689,,7.944158181596833,2.0675265928697337,13.323887281070121,1.2407196068243624,7.989502024358978,4250.0,0.14781390494773175,468.9278476149566,1310.4963180365671,2321.2217785423218,13,,0.2962736244506299,0.18145085861806737,0.7002762685792817,0.34375,0.2734375,128,False,87.6000364198762,2.0675265928697337,7.944158181596833,0.18145085861806737,0.34375,,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.040578954566559744
s01,A_modal,creak_cal,data/calibration/s01_passA_modal_creak_cal.wav,s01_passA_modal_creak_cal.wav,3.4101458333333334,589.4737879247746,662.4212206971442,207.7428197900625,47.90214028398513,681.0470768338114,45.955110050428445,40.0,750.0,151,0.075,0.01875,0.8,232.02515432830975,0.4,0.02666666666666667,9,0,84.8314606741573,anchor_unreliable;period_doubling_unresolved;period_doubling_present,2.903618092954855,7.181670031253495,22.244237130383354,1.903073459800685,9.067363519042553,4500.0,0.02159228764257344,702.1843342595066,1187.4920754285763,2569.3702828999267,13,,0.4916518599362977,0.4440224045764121,0.7415937320156719,0.9704797047970479,0.8450184501845018,271,False,47.90214028398513,7.181670031253495,2.903618092954855,0.4440224045764121,0.9704797047970479,multiply_pulsed;irregular_f0,-5.323664368282994,-5.473837781709676,-13.396676234348934,45.46326258110047,41.2695239435587,85.36427101135955,21.910112359550563,0.5179078737777087,0.6500707029260879,0.03382928751023206
s01,A_modal,glide,data/calibration/s01_passA_modal_glide.wav,s01_passA_modal_glide.wav,2.5801458333333334,185.92393336379942,174.56365361698636,51.646166907342604,125.22527245003897,271.21284731882736,13.378797239237588,79.41577324903758,340.04995681461776,219,0.07555174185844388,0.009443967732305485,0.35,168.5111335024111,0.9598003898780444,0.0,0,0,82.33082706766918,,12.771676006505652,0.3927629679659152,4.766922683785644,0.4338086498948286,14.428424731214333,5000.0,0.046153895839644,614.8891653525769,1238.6779692520804,2598.5554224156203,13,,0.05394187326405452,0.04348629497017152,0.07150104454346834,0.009523809523809525,0.004761904761904762,210,False,125.22527245003897,0.3927629679659152,12.771676006505652,0.04348629497017152,0.009523809523809525,,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05088532992246695
s01,A_modal,roomtone,data/calibration/s01_passA_modal_roomtone.wav,s01_passA_modal_roomtone.wav,5.011208333333333,60.252954649256495,59.39146322548402,4.500108325008674,53.84241804720075,66.3711939888844,3.621768306067575,40.0,94.06774179027478,31,0.15,0.01875,0.35,59.395759259900444,0.4555392251268676,0.0,0,0,11.923076923076923,anchor_unreliable;low_voicing;period_doubling_range_extended;period_doubling_present,1.0760119830935633,7.701102628484131,16.45223027282416,1.6944534636407838,3.6879784472309285,6000.0,0.06204371642482769,1105.5209117416575,2350.907755570504,3127.8966440269714,13,,0.5454589291968298,0.548030977218576,0.6549619120278812,1.0,0.9642857142857143,84,False,53.84241804720075,7.701102628484131,1.0760119830935633,0.548030977218576,1.0,multiply_pulsed;irregular_f0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0010963277154881787
s01,A_modal,sustained_a,data/calibration/s01_passA_modal_sustained_a.wav,s01_passA_modal_sustained_a.wav,3.0087916666666668,121.46779069767284,121.50953323318572,1.174614144467304,120.16265062270138,122.92414726004743,0.3933576582848621,90.43687570398053,183.4845026459031,359,0.033172309156495515,0.008293077289123879,0.35,121.4867278869788,0.9770210805471853,0.0,0,0,100.0,,15.942911110685456,0.49259787529401555,5.665931445115757,0.5452892127965524,16.917719127962922,4750.0,0.03690039014873184,742.2225004098689,1306.7405031254941,2635.9337230508463,13,,0.04081798035737676,0.03423165794723551,0.06066631292635282,0.00684931506849315,0.0,292,False,120.16265062270138,0.49259787529401555,15.942911110685456,0.03423165794723551,0.00684931506849315,,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.03294087411777433
s01,B_natural,carrier,data/calibration/s01_passB_natural_carrier.wav,s01_passB_natural_carrier.wav,2.0574583333333334,134.05594224266918,136.25785704274756,8.919608151906058,124.1199017507841,140.95136329838627,2.2015556628509803,97.18280158789801,207.26404823612245,86,0.06173931911783009,0.007717414889728761,0.35,135.0893294110142,0.8526952753529061,0.0,0,0,33.204633204633204,,6.729904015964079,2.4384264430363447,13.910231902507745,1.384417719033163,7.332146692478593,5250.0,0.12645772600328978,902.839670279742,2125.3211753097844,2698.979149007604,13,,0.29589330639643974,0.18821847595976438,0.701136849801686,0.41333333333333333,0.30666666666666664,75,False,124.1199017507841,2.4384264430363447,6.729904015964079,0.18821847595976438,0.41333333333333333,,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0390247690640119
s01,B_natural,creak_cal,data/calibration/s01_passB_natural_creak_cal.wav,s01_passB_natural_creak_cal.wav,4.2329791666666665,650.9958054049856,651.7898123270041,12.71214933777765,638.356698925135,664.0322115208756,0.6826851969460315,40.0,750.0,188,0.075,0.01875,0.8,,0.0,0.0,0,0,84.68468468468468,no_anchor;period_doubling_unresolved;period_doubling_present,2.6212668390738316,7.001188586461026,25.312802774048006,1.9662212476029093,10.156755670369636,4750.0,0.03382533846292506,664.5722301586602,1144.8197577914852,2572.5862046583225,13,,0.4683215828813326,0.43551673790444445,0.6926296357887589,0.9204892966360856,0.7370030581039755,327,False,638.356698925135,7.001188586461026,2.6212668390738316,0.43551673790444445,0.9204892966360856,multiply_pulsed;irregular_f0,-6.541946621061957,-6.691369340371903,-17.74202485359855,53.137520490589395,41.67323136673684,85.48120720750947,6.756756756756757,0.6940870972666229,0.7630698877922224,0.03076928247676433
s01,B_natural,glide,data/calibration/s01_passB_natural_glide.wav,s01_passB_natural_glide.wav,2.6695416666666665,168.29727191182073,149.40297789357226,56.020918481155796,108.63555403651827,258.41131483238314,15.002074782642449,93.91616071904458,316.22743302193646,298,0.03194338415275159,0.007985846038187897,0.35,145.9196565182272,0.9837278586666026,0.0,0,0,90.03021148036254,,12.120374164273311,0.8956482024161199,6.169680956503799,0.5960980138419698,15.328716015533114,4000.0,0.05478501635341332,652.4792762654658,1266.969583114299,2469.338747200596,13,,0.0759021250378377,0.04986388249836087,0.160731543550214,0.03347280334728033,0.012552301255230125,239,False,108.63555403651827,0.8956482024161199,12.120374164273311,0.04986388249836087,0.03347280334728033,,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.04100862469541859
s01,B_natural,roomtone,data/calibration/s01_passB_natural_roomtone.wav,s01_passB_natural_roomtone.wav,5.050395833333333,59.398370010133846,59.395792526582134,0.4618903215015431,59.33421648847803,59.47009147970541,0.039599828964972425,40.0,89.14300414893943,18,0.075,0.01875,0.35,59.37221827105566,0.2512259228222483,0.0,0,0,6.7669172932330826,anchor_unreliable;low_voicing;period_doubling_range_extended;period_doubling_present,0.24713157971672794,5.060847994461615,20.85668076807645,1.8054012852396046,3.7516605437730415,5250.0,0.04659102646076785,1124.6375718155564,2286.3684776159143,2925.1499621038934,13,,0.5299395039820958,0.5036161799795319,0.6702814469817572,1.0,1.0,78,False,59.33421648847803,5.060847994461615,0.24713157971672794,0.5036161799795319,1.0,multiply_pulsed;irregular_f0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0007139383362441022
s01,B_natural,sustained_a,data/calibration/s01_passB_natural_sustained_a.wav,s01_passB_natural_sustained_a.wav,3.9865208333333335,146.78598709914212,146.69300110775248,1.5683789597980704,144.93310927843075,148.59260608654085,0.43170144398433774,109.46753259359465,221.29650588659337,574,0.05481077227049038,0.006851346533811298,0.35,146.6934202294314,0.9666242424002501,0.0,0,0,100.0,,17.98458751712165,0.3302798699996382,2.794681001507465,0.2538540229706076,18.934593354891536,5000.0,0.032742547217393655,563.4574121326762,1299.0668018166311,2593.9746784979866,12,,0.025394981443565005,0.02455394403230999,0.032849794075453326,0.0,0.0,392,False,144.93310927843075,0.3302798699996382,17.98458751712165,0.02455394403230999,0.0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0604804750563414
s01,C_creak,carrier,data/calibration/s01_passC_creak_carrier.wav,s01_passC_creak_carrier.wav,2.2662708333333335,109.29332715681078,110.71305822514195,18.06369348280802,87.22815144919068,130.41134366981296,6.962443736978429,57.96531446835233,189.54558847052945,60,0.05175508884089515,0.012938772210223787,0.35,110.69324446676593,0.9245496463233531,0.0,4,2,34.883720930232556,,6.042305742604438,2.2361093775313865,9.905184003617395,0.8634889542909467,7.034237725561016,5000.0,0.16358207074416606,631.2320111069134,1991.6024106766154,2741.5892784484777,13,,0.3144200379410823,0.20038181019276863,0.71951451090816,0.40789473684210525,0.2894736842105263,76,False,87.22815144919068,2.2361093775313865,6.042305742604438,0.20038181019276863,0.40789473684210525,,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.04733621080598422
