utt_id,hand_creak_proportion,n_tokens,n_creaky,pass
s01_A_modal_C007,0.13892733933491597,13,1,A_modal
s01_A_modal_C036,0.0,16,0,A_modal
s01_A_modal_D006,0.0,15,0,A_modal
s01_A_modal_D018,0.0,21,0,A_modal
s01_A_modal_D024,0.2241957210781979,20,4,A_modal
s01_A_modal_F010,0.15731814008270492,20,3,A_modal
s01_A_modal_F015,0.0,22,0,A_modal
s01_A_modal_F025,0.0,21,0,A_modal
s01_B_natural_C003,0.0,17,0,B_natural
s01_B_natural_C004,0.17924528301886786,14,3,B_natural
s01_B_natural_C027,0.3211009174311927,17,5,B_natural
s01_B_natural_C030,0.23287671232876728,11,3,B_natural
s01_B_natural_C037,0.11487015785488998,15,1,B_natural
s01_B_natural_D004,0.15306122448979578,18,1,B_natural
s01_B_natural_D008,0.04658542227338669,24,1,B_natural
s01_B_natural_D023,0.043210469466381796,17,1,B_natural
s01_B_natural_F023,0.17149835970072383,22,3,B_natural
s01_C_creak_C001,0.922227976245598,12,11,C_creak
s01_C_creak_C008,0.6831683168316832,15,9,C_creak
s01_C_creak_C018,0.5266165766737018,18,10,C_creak
s01_C_creak_C019,0.7620092262282082,16,11,C_creak
s01_C_creak_C024,0.8896522590108706,18,14,C_creak
s01_C_creak_D016,0.6949132550708893,16,10,C_creak
s01_C_creak_D032,0.7288417101091583,18,12,C_creak
s01_C_creak_D033,0.4701492537313432,20,7,C_creak
s01_C_creak_D034,0.0,18,0,C_creak
s01_C_creak_D035,0.6109920185410758,18,8,C_creak
s01_C_creak_F003,0.721155377924769,25,15,C_creak
s01_C_creak_F014,0.772131201337914,22,14,C_creak
s01_C_creak_F018,0.635135135135135,23,13,C_creak
s01_C_creak_F024,0.7129279312663102,19,13,C_creak
s02_A_modal_C010,0.18260869565217397,16,1,A_modal
s02_A_modal_C016,0.0,11,0,A_modal
s02_A_modal_D001,0.0,19,0,A_modal
s02_A_modal_D005,0.0,17,0,A_modal
s02_A_modal_D018,0.0,21,0,A_modal
s02_A_modal_D024,0.0,20,0,A_modal
s02_A_modal_D028,0.0,14,0,A_modal
s02_A_modal_F002,0.04750593824228026,22,1,A_modal
s02_A_modal_F008,0.0,16,0,A_modal
s02_A_modal_F020,0.0,17,0,A_modal
s02_B_natural_C002,0.14039236752330114,15,1,B_natural
s02_B_natural_C036,0.0,16,0,B_natural
s02_B_natural_C038,0.15436241610738283,20,3,B_natural
s02_B_natural_C039,0.0,17,0,B_natural
s02_B_natural_C040,0.2747252747252743,13,4,B_natural
s02_B_natural_D002,0.10399999999999991,17,1,B_natural
s02_B_natural_D019,0.12250196925051779,14,2,B_natural
s02_B_natural_D031,0.19125683060109286,22,2,B_natural
s02_B_natural_D033,0.049180327868852486,19,1,B_natural
s02_B_natural_F002,0.08988764044943831,22,1,B_natural
s02_B_natural_F012,0.3746798063870093,22,7,B_natural
s02_B_natural_F013,0.3413556951899417,18,5,B_natural
s02_B_natural_F024,0.11570247933884308,19,1,B_natural
s02_C_creak_C005,0.7129678479694771,23,14,C_creak
s02_C_creak_C015,0.9546398907342645,7,6,C_creak
s02_C_creak_C026,0.7132352941176474,21,12,C_creak
s02_C_creak_C037,0.6098971977454947,14,7,C_creak
s02_C_creak_D020,0.6355659560394374,24,14,C_creak
s02_C_creak_F015,0.6498250029476635,20,12,C_creak
