session, pass     , item_id, position, start_sec           , end_sec, n_whisper_words_matched, match_ratio, flag
s01    , A_modal  , C017   ,        1,   30.27,    32.56,                       4,      0.6667, ok_manual
s01    , A_modal  , D028   ,        2,   8.6               ,   11.78,                       8,      1.0   , ok
s01    , A_modal  , F003   ,        3,  11.78              ,   15.44,                      11,      1.0   , ok
s01    , A_modal  , C031   ,        4,  15.44              ,   18.28,                       7,      1.0   , ok
s01    , A_modal  , D010   ,        5,  18.28              ,   21.76,                       9,      1.0   , ok
s01    , A_modal  , D034   ,        6,  21.76              ,   25.28,                       8,      0.8889, ok
s01    , A_modal  , D021   ,        7,  25.28              ,   28.98,                      10,      1.0   , ok
s01    , A_modal  , D020   ,        8,  28.98              ,   33.1 ,                       9,      1.0   , ok
s01    , A_modal  , F017   ,        9,  35.879999999999995 ,   39.26,                       9,      1.0   , ok
s01    , A_modal  , C004   ,       10,  39.26              ,   41.82,                       5,      0.8333, ok
s01    , A_modal  , C023   ,       11,  41.82              ,   44.6 ,                       7,      1.0   , ok
s01    , A_modal  , D032   ,       12,  44.6               ,   48.24,                      10,      1.0   , ok
s01    , A_modal  , C016   ,       13,  48.24              ,   51.0 ,                       7,      1.0   , ok
s01    , A_modal  , C038   ,       14,  51.0               ,   54.12,                       7,      1.0   , ok
s01    , A_modal  , F024   ,       15,  54.12              ,   57.86,                       8,      1.0   , ok
s01    , A_modal  , F010   ,       16,  57.86              ,   61.66,                      11,      1.0   , ok
s01    , A_modal  , D030   ,       17,  61.66              ,   65.54,                      10,      1.0   , ok
s01    , A_modal  , D019   ,       18,  65.54              ,   68.66,                       8,      1.0   , ok
s01    , A_modal  , F016   ,       19,  68.66              ,   72.22,                       8,      1.0   , ok
s01    , A_modal  , F007   ,       20,  72.22              ,   76.0 ,                       9,      1.0   , ok
s01    , A_modal  , C001   ,       21,  76.0               ,   78.48,                       5,      0.8333, ok
s01    , A_modal  , D008   ,       22,  78.48              ,   82.08,                       7,      1.0   , ok
s01    , A_modal  , C003   ,       23,  82.08              ,   84.94,                       6,      1.0   , ok
s01    , A_modal  , F004   ,       24,  84.94              ,   88.42,                      10,      1.0   , ok
s01    , A_modal  , F022   ,       25,  88.42              ,   92.52,                      11,      1.0   , ok
s01    , A_modal  , C006   ,       26,  92.52              ,   95.18,                       7,      1.0   , ok
s01    , A_modal  , D018   ,       27,  95.18              ,   98.64,                       8,      1.0   , ok
s01    , A_modal  , D014   ,       28,  98.64              ,  101.2 ,                       8,      1.0   , ok
s01    , A_modal  , D024   ,       29, 101.2               ,  104.08,                       8,      1.0   , ok
s01    , A_modal  , C022   ,       30, 104.08              ,  106.48,                       6,      1.0   , ok
s01    , A_modal  , C040   ,       31, 106.48              ,  108.74,                       5,      0.8333, ok
s01    , A_modal  , D007   ,       32, 108.74              ,  112.26,                       9,      0.9   , ok
s01    , A_modal  , D022   ,       33, 112.26              ,  115.94,                       8,      1.0   , ok
s01    , A_modal  , F014   ,       34, 115.94              ,  118.8 ,                      10,      1.0   , ok
s01    , A_modal  , F018   ,       35, 118.8               ,  121.84,                       8,      1.0   , ok
s01    , A_modal  , F015   ,       36, 121.84              ,  125.24,                       9,      1.0   , ok
s01    , A_modal  , C015   ,       37, 126.4               ,  127.66,                       4,      0.8   , ok
s01    , A_modal  , D002   ,       38, 127.66              ,  131.16,                       9,      1.0   , ok
s01    , A_modal  , C012   ,       39, 131.16              ,  134.1 ,                       8,      1.0   , ok
s01    , A_modal  , D005   ,       40, 134.1               ,  137.54,                       9,      1.0   , ok
s01    , A_modal  , F009   ,       41, 137.54              ,  140.82,                       9,      0.9   , ok
s01    , A_modal  , D017   ,       42, 140.82              ,  144.36,                       7,      0.875 , ok
s01    , A_modal  , F002   ,       43, 144.36              ,  148.0 ,                       9,      1.0   , ok
s01    , A_modal  , D026   ,       44, 148.0               ,  151.48,                       9,      1.0   , ok
s01    , A_modal  , F019   ,       45, 151.48              ,  154.56,                      10,      1.0   , ok
s01    , A_modal  , F025   ,       46, 156.58              ,  159.6 ,                      10,      1.0   , ok
s01    , A_modal  , F006   ,       47, 159.6               ,  162.18,                       8,      1.0   , ok
s01    , A_modal  , F020   ,       48, 162.18              ,  165.16,                      10,      1.0   , ok
s01    , A_modal  , F005   ,       49, 165.16              ,  168.78,                       9,      1.0   , ok
s01    , A_modal  , D013   ,       50, 168.78              ,  171.64,                       8,      1.0   , ok
s01    , A_modal  , C029   ,       51, 171.64              ,  173.84,                       6,      1.0   , ok
s01    , A_modal  , C013   ,       52, 173.84              ,  176.56,                       6,      0.8571, ok
s01    , A_modal  , F023   ,       53, 176.56              ,  179.8 ,                      10,      1.0   , ok
s01    , A_modal  , C035   ,       54, 179.8               ,  182.02,                       5,      0.8333, ok
s01    , A_modal  , C025   ,       55, 182.96              ,  184.34,                       6,      1.0   , ok
s01    , A_modal  , F021   ,       56, 184.34              ,  187.42,                      10,      1.0   , ok
s01    , A_modal  , D023   ,       57, 187.42              ,  190.58,                       9,      1.0   , ok
s01    , A_modal  , C039   ,       58, 192.02              ,  193.18,                       4,      0.6667, low_confidence
s01    , A_modal  , C036   ,       59, 193.18              ,  195.88,                       7,      1.0   , ok
s01    , A_modal  , C034   ,       60, 195.88              ,  198.06,                       5,      0.8333, ok
s01    , A_modal  , C037   ,       61, 198.06              ,  200.34,                       5,      1.0   , ok
s01    , A_modal  , C019   ,       62, 200.34              ,  203.68,                       5,      0.8333, ok
s01    , A_modal  , C002   ,       63, 204.14              ,  206.62,                       6,      1.0   , ok
s01    , A_modal  , D025   ,       64, 206.62              ,  209.7 ,                       7,      1.0   , ok
s01    , A_modal  , C033   ,       65, 209.7               ,  211.88,                       6,      1.0   , ok
s01    , A_modal  , D012   ,       66, 211.88              ,  215.04,                       8,      0.8889, ok
s01    , A_modal  , D009   ,       67, 215.04              ,  218.12,                       8,      1.0   , ok
s01    , A_modal  , D003   ,       68, 218.12              ,  221.18,                       7,      1.0   , ok
s01    , A_modal  , D033   ,       69, 221.18              ,  224.2 ,                       9,      1.0   , ok
s01    , A_modal  , D006   ,       70, 224.2               ,  227.48,                       8,      1.0   , ok
s01    , A_modal  , C028   ,       71, 227.48              ,  229.8 ,                       7,      1.0   , ok
s01    , A_modal  , C027   ,       72, 229.8               ,  232.2 ,                       6,      1.0   , ok
s01    , A_modal  , C008   ,       73, 232.2               ,  234.9 ,                       7,      1.0   , ok
s01    , A_modal  , D035   ,       74, 234.9               ,  238.5 ,                      10,      1.0   , ok
s01    , A_modal  , D001   ,       75, 238.5               ,  241.62,                      10,      1.0   , ok
s01    , A_modal  , C030   ,       76, 241.62              ,  243.82,                       5,      1.0   , ok
s01    , A_modal  , C010   ,       77, 243.82              ,  246.24,                       7,      1.0   , ok
s01    , A_modal  , D016   ,       78, 246.24              ,  250.12,                       8,      1.0   , ok
s01    , A_modal  , C009   ,       79, 250.12              ,  252.32,                       5,      1.0   , ok
s01    , A_modal  , C018   ,       80, 252.32              ,  254.9 ,                       7,      1.0   , ok
s01    , A_modal  , F008   ,       81, 254.9               ,  258.22,                      10,      1.0   , ok
s01    , A_modal  , D011   ,       82, 258.22              ,  261.46,                       7,      1.0   , ok
s01    , A_modal  , C026   ,       83, 261.46              ,  264.58,                       5,      0.8333, ok
s01    , A_modal  , C011   ,       84, 264.58              ,  267.26,                       5,      1.0   , ok
s01    , A_modal  , F013   ,       85, 267.26              ,  270.32,                       9,      1.0   , ok
s01    , A_modal  , D029   ,       86, 270.32              ,  273.08,                       6,      1.0   , ok
s01    , A_modal  , F011   ,       87, 273.96              ,  275.76,                       9,      0.9   , ok
s01    , A_modal  , C020   ,       88, 275.76              ,  278.5 ,                       8,      1.0   , ok
s01    , A_modal  , C014   ,       89, 278.5               ,  281.96,                       5,      0.8333, ok
s01    , A_modal  , F001   ,       90, 283.6               ,  286.32,                       9,      1.0   , ok
s01    , A_modal  , C021   ,       91, 286.32              ,  288.72,                       6,      1.0   , ok
s01    , A_modal  , C024   ,       92, 288.72              ,  291.5 ,                       4,      0.5714, low_confidence
s01    , A_modal  , D027   ,       93, 291.5               ,  294.58,                       8,      1.0   , ok
s01    , A_modal  , D004   ,       94, 294.58              ,  297.48,                       9,      1.0   , ok
s01    , A_modal  , D031   ,       95, 297.48              ,  301.28,                      10,      1.0   , ok
s01    , A_modal  , C005   ,       96, 301.28              ,  304.24,                       8,      1.0   , ok
s01    , A_modal  , C032   ,       97, 304.24              ,  307.06,                       7,      0.875 , ok
s01    , A_modal  , C007   ,       98, 307.06              ,  310.14,                       7,      1.0   , ok
s01    , A_modal  , D015   ,       99, 310.14              ,  312.94,                       8,      1.0   , ok
s01    , A_modal  , F012   ,      100, 312.94              ,  315.26,                       8,      0.8   , ok
s01    , B_natural, F016   ,        1,   5.539999999999999 ,    8.04,                       8,      1.0   , ok
s01    , B_natural, C019   ,        2,   8.04              ,   10.52,                       5,      0.8333, ok
s01    , B_natural, D002   ,        3,  10.9               ,   13.86,                       9,      1.0   , ok
s01    , B_natural, C022   ,        4,  13.86              ,   16.7 ,                       6,      1.0   , ok
s01    , B_natural, F011   ,        5,  17.66              ,   19.34,                       9,      0.9   , ok
s01    , B_natural, D027   ,        6,  19.34              ,   22.04,                       8,      1.0   , ok
s01    , B_natural, D028   ,        7,  22.04              ,   24.5 ,                       8,      1.0   , ok
s01    , B_natural, C038   ,        8,  24.5               ,   27.18,                       7,      1.0   , ok
s01    , B_natural, C004   ,        9,  27.18              ,   29.4 ,                       5,      0.8333, ok
s01    , B_natural, C020   ,       10,  29.4               ,   31.56,                       8,      1.0   , ok
s01    , B_natural, F023   ,       11,  31.56              ,   35.02,                      10,      1.0   , ok
s01    , B_natural, C008   ,       12,  35.02              ,   37.66,                       7,      1.0   , ok
